zd,zz
社区获得性肺炎，非重症,肺呼吸音粗:108 咳嗽:106 病理性杂音:97 感染:75 女性:67 发热:66 咳痰:55 男性:45 湿罗音:36 精神软:28 高血压病:26 高血压:19 淋巴结肿大:18 畏寒发热:18 支气管病变:16 肺炎:16 面色红:15 肿瘤:12 颈静脉充盈:12 糖尿病:12 老年:11 胸腔积液:11 咽充血:11 桶状胸:10 胸闷:10 胸痛:9 肺部感染:9 脑改变:8 加重:8 消瘦:8 气促:8 肺大泡:8 增生:8 胸膜增厚:7 头晕:7 浮肿:6 胃炎:6 双下肢轻度水肿:6 肺气肿:6 腔隙性脑梗塞:5 皮疹:5 慢支:5 乏力:5 手术治疗:5 双肺呼吸音稍粗:5 出血:5 两肺纹理增多:5 双下肢水肿:5 食管炎:5 咯血:4 恶心:4 纳差:4 呕吐:4 畏寒:4 哮鸣音:4 早搏:4 胸闷气急:4 轻压痛:4 反应迟钝:3 肝炎:3 心音强弱不等:3 左肺下叶结节:3 呼吸急促:3 两侧胸膜:3 干咳:3 颈椎病:3 胸闷气促:3 脑梗塞:3 咽部:3 干燥综合征:3 肋间隙增宽:3 支气管扩张:3 肺结核:3 高血压性心脏病:3 腹泻:3 不适:3 小细胞癌:3 受凉:2 脑出血:2 左肺中央型肺癌:2 气喘:2 双侧胸膜改变:2 右上肺陈旧灶:2 心悸:2 癫痫:2 心脏扩大:2 左锁骨上淋巴结转移:2 腔梗灶:2 酸胀不适:2 肝硬化:2 喘息:2 背痛:2 心浊音界左大:2 口唇轻度紫绀:2 胸水:2 左肺呼吸音低:2 胸水涂片中见较多间皮细胞及淋巴细胞:2 尿频尿痛:2 房室传导阻滞:2 脂肪肝:2 咽痛:2 两肺结节:2 慢性支气管炎:2 头痛:2 骨折:2 胆囊结石:2 间质性肺炎:2 慢性阻塞性肺疾病:2 白色粘痰:2 停药:2 活动受限:2 阵发性咳嗽:2 右上肺病灶:2 痛风:2 脑梗塞后遗症:2 支气管疾患:2 右侧肢体偏瘫:2 心功能III级:2 心脏病:2 左侧肢体:2 心律失常:2 冠心病:2 吞咽困难:2 神志不清:2 颈动脉粥样硬化:1 鳞状细胞癌:1 脑积水:1 进食:1 精神障碍:1 肠梗阻:1 陈旧性手术疤痕:1 多发结石:1 两肺少许炎症:1 输尿管结石:1 室早:1 慢支病史:1 异型增生:1 粥样斑块形成:1 膀胱结石:1 胃溃疡:1 皮肤黄染:1 肝内低密度灶:1 活动度欠佳:1 右侧颈内动脉重度狭窄:1 脾切除术:1 脑梗死:1 眩晕症:1 意识不清:1 桥本氏甲状腺炎:1 右上肺陈旧性病变:1 未婚未育:1 糖尿病周围神经病变:1 两肺呼吸音低:1 血尿:1 左心室增大:1 两上肺陈旧灶:1 肿胀:1 主动脉瓣轻度反流:1 低热:1 剑突下压痛:1 右肺下叶小结节:1 左室舒张功能减退:1 血压偏高:1 双下肢乏力:1 口干:1 跌倒:1 鼻塞:1 心悸不适:1 口齿不清:1 不认识家人:1 结肠癌手术:1 脉管瘤栓:1 行为异常:1 青光眼手术:1 吸烟:1 心影增大:1 左肺上叶:1 胃炎病史:1 活动障碍:1 关节畸形:1 哮喘:1 血栓:1 化脓:1 关节肿痛:1 两肺多发小结节:1 肝癌:1 胃溃疡病史:1 腔梗:1 慢性肾脏病:1 两侧胸腔少量积液:1 急性起病:1 血吸虫肝病:1 胡言乱语:1 椎体:1 腹痛:1 青年:1 精神萎靡:1 心绞痛:1 左房增大:1 右上肺增殖灶:1 左侧肾区叩击痛阳性:1 两肺多发结节:1 感冒:1 右肺中叶小结节:1 淋巴瘤:1 肝内脂肪偏多:1 心功能II级:1 心脏扩大病史:1 周围神经病:1 肿块:1 阑尾炎:1 胸闷胸痛:1 视网膜病变:1 痒:1 血压偏低:1 压痛明显:1 白粘痰:1 脾脏钙化:1 两肺纹理增粗:1 脑出血病史:1 风湿性心脏病:1 肾囊肿:1 全腹及反跳痛:1 乙肝:1 呼吸衰竭:1 肺源性心脏病:1 肾功能不全:1 抽搐:1 动脉导管未闭:1 囊肿:1 贫血病史:1 疱疹:1 冠脉支架植入术:1 肝右叶钙化灶:1 两侧侧脑室旁缺血性改变:1 自行停药:1 酸痛:1 血小板减少:1 贫血:1 腰痛:1 痰血:1 瘀斑:1 抑郁症病史:1 左侧基底节区:1 腰椎间盘突出:1 动脉粥样硬化:1 焦虑:1 脑室腹腔分流术:1 颈动脉硬化症:1 重度混合性通气功能障碍:1 老年痴呆症:1 累:1 哮喘病史:1 副脾:1 肾结石:1 T波改变:1 左下肺炎:1 脓肿:1 心慌:1 心功能3级:1 腹膜后多发淋巴结转移:1 胃窦粘膜慢性中度浅表性炎:1 中风后遗症:1 咽稍红:1 风湿性关节炎:1 退变:1 呛咳:1 手术病史:1 频发房早:1 颈动脉硬化:1 腹胀:1 脑梗塞病史:1 口唇紫绀:1 慢性支气管炎病史:1 疼痛:1 血压升高:1 室速:1 隐血:1 
恶性肿瘤维持性化学治疗,肿块:43 肿瘤:38 女性:29 累:26 高血压病:21 男性:20 高血压:20 病理性杂音:18 精神软:16 脉管瘤栓:15 淋巴结肿大:14 增生:14 癌转移:13 肺呼吸音粗:13 直肠癌术后:13 咳嗽:12 乳腺癌:12 浮肿:11 全腹及反跳痛:10 结肠癌:10 鳞状细胞癌:9 乏力:8 淋巴瘤:8 直肠癌:8 肝炎:7 胆囊炎:7 糖尿病:7 咳痰:7 感染:7 乳腺浸润性导管癌:7 肺占位:6 纳差:6 左肺呼吸音低:6 抗感染治疗:6 手术瘢痕:6 肺癌术后:6 贫血:6 不适:6 活动度差:6 胃癌:5 脉管内癌栓:5 鼻咽癌:5 腹痛:5 粘液腺癌:5 直肠癌根治术:5 痛风:4 左卵巢及输卵管高级别浆液性癌瘤体:4 回盲部腺癌:4 消瘦:4 胸闷气促:4 腺肌症:4 胆囊结石:4 卵巢癌:4 子宫内膜单纯性萎缩:4 直肠浸润溃疡型中-低分化腺癌:4 右卵巢高级别浆液性癌瘤体:4 宫颈粘膜慢性炎:4 轻压痛:4 右侧乳腺浸润性导管癌:3 陈旧性手术疤痕:3 息肉:3 老年:3 血小板减少:3 干咳:3 胃贲门部癌根治术:3 大便性状改变:3 呕吐:3 全胃切除:3 骨质疏松:3 哮喘:3 肝癌:3 手术治疗:3 食道癌根治术:3 破碎:3 胸闷:3 便血:3 乙肝:3 小细胞癌:3 胸腔积液:3 发热:3 呛咳:3 肺部病灶:3 进食:2 肿物:2 阻塞性肺炎:2 进食哽噎:2 慢性肝病:2 直肠隆起型中分化腺癌:2 腔梗灶:2 体重减轻:2 蜘蛛痣:2 结肠息肉切除:2 声音嘶哑:2 阵发性干咳:2 腹膨隆:2 平滑肌瘤:2 声嘶:2 导管内癌:2 椎间盘突出:2 粒细胞缺乏:2 畏寒:2 麻木:2 直肠浸润溃疡型中分化腺癌:2 白细胞减少:2 肺气肿:2 小三阳:2 出血:2 恶心:2 肺大泡:2 便中带血:2 左乳癌:2 胆管癌:2 右肺门占位:2 房颤:2 腰椎:2 囊肿:2 大便带血:2 早搏:2 右肺上叶癌:2 右侧乳房缺如:2 腰痛:2 胸痛:2 黑便:2 疼痛:2 胀痛:2 食管癌:2 畏寒发热:2 甲亢:2 静脉曲张:2 视物模糊:2 颈部肿块:2 头晕乏力:2 颈动脉粥样硬化:1 室早:1 血糖升高:1 喉癌:1 肠梗阻:1 多发结石:1 胃窦粘膜慢性中度浅表性炎:1 左肺上叶占位:1 加重:1 异型增生:1 腹水:1 心律不齐:1 血压下降:1 右肺呼吸音低:1 回肠造瘘术:1 双腿肌肉刺痛不适:1 吞咽不畅:1 直肠浸润溃疡型:1 骨折:1 双肺呼吸音低:1 淋巴细胞浸润:1 腰部疼痛:1 癫痫:1 右乳腺浸润性导管癌:1 进食哽噎感:1 腰椎退行性变:1 甲状腺功能亢进:1 胃癌根治术:1 便秘:1 血CEA升高:1 破溃:1 低蛋白血症:1 头昏乏力:1 肿胀:1 膀胱部分切除:1 血栓:1 化脓:1 左乳癌改良根治术:1 停药:1 两肺多发小结节:1 胸水:1 进行性吞咽困难:1 支气管病变:1 前列腺症:1 印戒细胞癌:1 前列腺癌:1 椎体:1 胃炎:1 皮肤瘀斑:1 胃窦后壁近幽门溃疡型低分化腺癌:1 肺炎:1 周围神经病:1 皮疹:1 胃纳欠佳:1 胸闷胸痛:1 左肺上叶:1 两肺转移:1 心动过速:1 纤维组织增生:1 心功能不全:1 慢性输卵管炎:1 腰椎间盘突出症:1 两肺纹理增多:1 右肺腺癌:1 低钾血症:1 隐痛:1 胃癌术后:1 直肠癌手术史:1 阵发性咳嗽:1 淋巴结清扫术:1 左手上举受限:1 咽部:1 有核细胞增生明显活跃:1 直肠癌癌根治术:1 食管癌根治术:1 糖尿病肾病:1 手术史:1 心慌:1 右侧附件切除:1 腹泻:1 右乳癌改良根治术:1 退变:1 阴道不规则流血:1 胸闷心悸:1 腹胀:1 触痛:1 肾囊肿:1 呕血:1 肝硬化:1 食管炎:1 
休克,肺呼吸音粗:2 消瘦:2 男性:2 胆囊炎:2 胆囊结石:2 左侧肢体:1 精神软:1 褥疮:1 偏瘫:1 慢支:1 进食:1 头昏:1 肺气肿:1 昏迷:1 腹凹软:1 两肺下叶渗出灶:1 全身紧绷感:1 两侧胸腔少量积液:1 恶心:1 对光反射迟钝:1 呕吐:1 肺气肿征象:1 血压不稳:1 老年:1 肺大泡:1 慢性支气管炎:1 肿胀:1 车祸:1 心律绝对不齐:1 感染:1 长期卧床:1 双肺呼吸音低:1 高血压:1 房颤:1 右上肺陈旧灶:1 胃纳减:1 骨折:1 脑积水:1 外伤:1 意识不清:1 胸腔积液:1 女性:1 胃癌术后:1 疼痛:1 冠心病:1 肺部感染:1 脑梗塞:1 浮肿:1 
食管恶性肿瘤,食管癌:41 鳞状细胞癌:38 男性:38 浮肿:23 肿瘤:15 肿块:15 胃炎:14 老年:12 食管MT:12 淋巴结肿大:11 肺呼吸音粗:11 进食:10 病理性杂音:9 囊肿:8 肾区叩痛:7 高血压病:7 女性:6 紧张:6 手术瘢痕:6 嘶哑:6 加重:5 胸膜增厚:5 消瘦:5 梗阻感:5 肾囊肿:5 食道MT术后:4 左肺上叶:4 感染:4 肺大泡:4 心律不齐:3 前列腺钙化灶:3 癌转移:3 两肺散在纤维灶:3 胸背部可及术后疤痕:3 胆囊炎:3 进行性吞咽困难:3 肝囊肿:3 肝内多发囊肿:3 左肺上叶结节:3 肺气肿:3 糖尿病:3 慢性病容:3 累:3 高血压:3 脾肿大:3 口周围炎:3 吞咽困难:3 轻压痛:3 左肺小结节:2 食管下段鳞癌:2 进食困难:2 食管MT术后改变:2 腔梗灶:2 进食哽噎感:2 左肺上叶小结节:2 肝左叶囊肿:2 两侧胸腔少量积液:2 腰椎退行性改变:2 出血:2 肺癌术后:2 不适:2 右肺上叶钙化灶:2 腹部手术疤痕:2 食管中段管壁增厚:2 冠心病:2 食管中下段壁增厚:2 双肾小结石:2 脉管内瘤栓:2 精神软:2 胃癌:2 脉管瘤栓:2 胸腔积液:2 疼痛:2 脱屑:1 呕血:1 脑白质区脱髓鞘改变:1 中上腹压痛:1 房早:1 心包积液:1 活动受限:1 局部毁损:1 脉管内癌栓:1 浅表性十二指肠球炎:1 肝内低密度灶:1 放疗后:1 食管下段髓质型小圆细胞恶性肿瘤:1 两下肺渗出:1 胃癌手术:1 右上肺陈旧性病变:1 窦速:1 粥样斑块形成:1 食管下段贲门部壁增厚:1 两肺下叶背段少许增殖灶:1 椎间盘轻度突出:1 剑突下压痛:1 慢支:1 心包少量积液:1 伴反跳痛:1 胃癌根治术:1 咳嗽:1 咳痰:1 心绞痛:1 食管下段贲门MT:1 主动脉瓣钙化:1 两肺听诊干湿性罗音:1 食管中下MT:1 主动脉壁钙化:1 肿胀:1 声音嘶哑:1 心肺听诊异常:1 腰腿疼痛:1 食道中段MT:1 黏膜慢性炎:1 主动脉管壁钙化:1 纳差:1 肢体无力:1 主动脉硬化:1 胃角溃疡:1 腹痛:1 脑内多发转移灶:1 支架植入术后改变:1 肝右叶钙化灶:1 上皮内瘤变:1 腹水:1 右肺上叶小结节:1 左室舒张功能欠佳:1 胸痛:1 肺气肿征象:1 胸水:1 食管粘膜粗糙性质:1 肾结石:1 局部压痛:1 慢性支气管炎:1 进行性梗阻感:1 小细胞癌:1 少量渗出:1 房颤:1 腰椎:1 两肺散在渗出:1 骨折:1 左室高电压:1 左侧斜裂区小结节:1 肝内低密度影:1 早搏:1 停药:1 食管癌支架置入术+放化疗:1 食管癌支架植入后改变:1 贫血:1 食管MT内置支架后:1 背部疼痛:1 畏寒发热:1 湿罗音:1 甲状腺左侧叶结节:1 食管略狭窄:1 发热:1 食管中上段MT:1 胸部外伤:1 椎体:1 腹胀:1 食管炎:1 右肺中叶MT:1 脑白质脱髓鞘改变:1 
胃恶性肿瘤,男性:75 胃癌术后:66 肿块:50 浮肿:37 淋巴结肿大:36 胃癌:33 肾区叩痛:32 老年:30 慢性病容:27 女性:24 肿瘤:22 轻压痛:22 高血压病:20 陈旧性手术疤痕:19 印戒细胞癌:19 病理性杂音:17 脉管内见癌栓:16 手术瘢痕:14 不适:14 腹痛:13 囊肿:13 累:13 恶心:10 胃炎:10 高血压:10 胃MT术后:10 乏力:9 胆囊炎:9 精神软:9 呕吐:8 肺呼吸音粗:8 静脉化疗:8 盆腔少量积液:7 胃MT:7 消瘦:7 糖尿病:7 黑便:7 胸腔积液:7 进食:6 加重:6 胃癌术后改变:6 出血:6 全腹及反跳痛:6 胆囊结石:6 癌转移:5 全胃切除:5 感染:5 两肺听诊干湿性罗音:5 贫血:5 紧张:5 腹胀:5 食管炎:5 异型增生:4 双肺呼吸音低:4 前列腺钙化灶:4 左肺上叶:4 胃壁增厚:4 肝囊肿:4 胃窦小弯侧溃疡型印戒细胞癌:4 脉管内癌栓:4 增生:4 隐痛:4 腹正中可见手术疤痕:4 胃恶性肿瘤:3 胃溃疡:3 纳差:3 窦缓:3 剑突下压痛:3 胃癌根治术:3 心肺听诊阴性:3 粘液腺癌:3 椎体:3 前列腺钙化:3 胃窦部胃壁增厚:3 骨转移瘤:3 静脉曲张:3 退变:3 疼痛:3 呕血:3 吞咽困难:3 胃体大弯侧溃疡型低分化腺癌:2 放疗后:2 抑郁症:2 脉管内瘤栓:2 胃贲门小弯侧溃疡型低分化腺癌:2 肠梗阻:2 肿胀:2 头晕:2 哮喘:2 血栓:2 胃窦小弯侧弥漫浸润性印戒细胞癌:2 胃窦部壁增厚:2 腰椎退行性变:2 回声结节:2 两肺多发结节:2 左侧顶叶转移瘤:2 脂肪肝:2 明显干湿性啰音:2 脉细:2 右肺上叶小结节:2 慢性支气管炎:2 手术治疗:2 胃窦部大弯侧溃疡型中分化腺癌:2 胃窦溃疡:2 反酸:2 疱疹:2 早搏:2 胃体小弯侧浸润溃疡型印戒细胞癌:2 胃体小弯侧溃疡型中-低分化腺癌:2 胃贲门小弯侧隆起型中分化腺癌:2 活动度差:2 胃幽门小弯侧溃疡型中分化腺癌:2 脂肪瘤:2 胃角部小弯侧溃疡型低分化腺癌:2 胃窦小弯侧溃疡型低分化腺癌肿块:2 胃窦小弯侧溃疡型中分化腺癌:2 中上腹压痛:2 胃大部切除术:2 手术史:2 胃窦部增厚:2 面色少华:2 腹泻:2 胃角溃疡:2 红肿:2 胃纳欠佳:2 肾囊肿:2 矽肺:1 肝脏多发囊肿:1 息肉:1 胃体大弯侧胃壁黏膜下胃腺异位病变:1 右肺中叶纤维灶:1 胃体小弯侧占位:1 肝脏多发小囊肿:1 肿物:1 手术病史:1 关节畸形:1 脑改变:1 胃窦小弯侧浸润溃疡型印戒细胞癌:1 右肺中叶少许渗出灶:1 两肺多发病变:1 大便不成形:1 心动过缓:1 局部骨质密度增高:1 胆囊小:1 上皮内瘤变:1 大便次数增多:1 胃周多发淋巴结转移:1 腺肌症:1 两下肺渗出:1 脊柱侧弯:1 胸膜增厚:1 牙龈出血:1 胃窦小弯侧浅表凹陷型Ⅱc型印戒细胞癌:1 癫痫:1 烧心感:1 右肺下叶结节:1 右肺结节:1 腔梗灶:1 表面凹凸不平:1 皮疹:1 胃窦息肉:1 肾结石:1 颈部、肩胛带肌肉压痛:1 右肺下叶小结节:1 甲状腺结节:1 心包少量积液:1 左肺呼吸音低:1 肝炎:1 胰管扩张:1 上腹压痛:1 咳嗽:1 左锁骨上淋巴结转移:1 胃贲门后壁近小弯侧隆起性低分化腺癌:1 慢阻肺:1 双肩关节抬举受限:1 钢板植入:1 肝Ⅷ段异常强化灶:1 胆囊息肉:1 微黄染:1 乙状结肠FDG代谢增高:1 肺占位:1 肝内胆管扩张:1 心肺听诊异常:1 黏膜慢性炎:1 欲呕:1 胃角部溃疡型低分化腺癌:1 胃窦小弯侧弥漫浸润型低分化腺癌:1 进行性吞咽困难:1 肝脏小囊肿:1 脉滑数:1 尘肺:1 精神分裂症:1 白细胞减少:1 上腹部压痛:1 双肺呼吸音稍粗:1 肺气肿:1 淋巴瘤:1 苔薄黄:1 肝区回声增粗:1 乳头状腺癌:1 胀痛:1 腹腔少量积液:1 肺大泡:1 腰骶椎:1 食欲减退:1 梗阻感:1 头痛:1 肝区叩击痛:1 胰头部占位:1 上腹部胀气:1 胰腺术后:1 低位胃体后壁溃疡型:1 压痛明显:1 进食哽噎:1 腰椎:1 胃窦部前壁浅表凹陷型Ⅱc型高-中分化腺癌:1 抽搐:1 骨折:1 足背轻度水肿:1 血糖偏高:1 胃潴留:1 自行停药:1 腹部包块:1 胃癌治疗后:1 房颤:1 感冒:1 腰椎间盘突出:1 冠心病:1 副脾:1 胆结石:1 双髋关节压痛:1 胃溃疡型低分化腺癌:1 阑尾炎:1 外伤史:1 脑梗病史:1 黄疸:1 脉管瘤栓:1 晕厥:1 心脏病:1 频发房性早搏:1 餐后反酸:1 发热:1 肝左叶占位:1 脉细数:1 血尿:1 头昏:1 胃体后壁近大弯侧溃疡型中分化腺癌:1 隐血:1 甲状腺左侧叶结节:1 胃术后改变:1 
脑出血,脑出血:28 男性:23 高血压病:23 女性:21 左侧肢体:19 左侧基底节区:17 精神软:16 神志嗜睡:15 头晕:13 呕吐:12 肺呼吸音粗:12 出血:10 口齿不清:9 活动障碍:9 右侧肢体乏力:9 高血压:8 突发头痛:7 头痛:7 左侧肢体乏力:6 神志昏迷:6 蛛血:6 失语:6 老年:5 糖尿病:5 恶心:4 主动脉弓钙化:4 昏迷:4 乏力:4 轻度脱髓鞘改变:4 脑白质脱髓鞘改变:4 胸腔积液:4 嗜睡:4 神志不清:4 麻木:3 意识不清:3 腔梗灶:3 肿胀:3 脂肪肝:3 口角左侧歪斜:3 脉弦滑:3 不适:3 尿毒症:3 颈静脉略充盈:3 右侧肢体偏瘫:3 刺痛:3 突发意识不清:3 硬膜下血肿:3 偏瘫:2 双肺呼吸音低:2 颈抵抗:2 神志模糊:2 脉涩:2 保守治疗:2 对光反射迟钝:2 脑内血肿:2 蛛网膜囊肿:2 外伤:2 抽搐:2 慢性肾脏病:2 肺气肿:2 肺气肿征象:2 脑出血病史:2 感染:2 蛛网膜下腔出血:2 骨折:2 右侧基底节区软化灶:2 肝内钙化灶:2 渗血:2 意识障碍:2 疼痛:2 反应迟钝:1 昏睡:1 肿物:1 糖尿病肾病:1 苔白腻:1 冠脉支架植入术:1 多发钙化灶:1 右侧上颌窦及蝶窦右侧积液:1 视物旋转:1 高血压性心脏病:1 两下肺渗出:1 活动少:1 行走不稳:1 癫痫:1 不规律服药:1 脑疝:1 心脏扩大:1 浮肿:1 腔隙性脑梗塞:1 口齿不利:1 剑突下压痛:1 摔倒:1 头昏:1 肌张力稍增高:1 尿毒症病史:1 纳差:1 维持性血透:1 全身乏力:1 心影增大:1 左肺上叶:1 胆囊炎:1 心肺听诊异常:1 两肺多发小结节:1 肢体无力:1 支气管病变:1 两侧胸腔少量积液:1 心包积液:1 手术病史:1 血压偏低:1 精神萎靡:1 慢支:1 脑改变:1 剖腹产:1 皮疹:1 肺大泡:1 慢支伴感染:1 重度混合性通气功能障碍:1 肾囊肿:1 少量渗出:1 压痛明显:1 右侧额叶低密度影:1 两肺纹理增多:1 意识模糊:1 脑梗塞:1 瘀斑:1 停药:1 头部外伤:1 活动受限:1 贫血:1 肺结核:1 颈椎退变:1 心音低:1 甲亢:1 车祸:1 湿罗音:1 心脏病:1 发热:1 咳嗽:1 脾肿大:1 慢性支气管炎病史:1 冠心病:1 胰腺炎:1 食管炎:1 
股骨骨折,骨折:43 疼痛:38 活动受限:37 肿胀:36 摔伤:25 出血:18 活动明显受限:18 明确外伤史:17 大粗隆处压痛:17 破裂:17 骨擦感:16 精神软:16 压痛明显:8 瘀斑:5 跌伤:5 脉弦:5 男性:4 膝关节:4 舌质淡:4 外伤:4 老年:3 车祸:3 痛苦:3 女性:3 感染:2 主动脉硬化:2 右髋畸形:2 跛行:2 渗血:2 手术瘢痕:2 擦挫伤:2 撕脱:2 椎体:2 左侧肢体:1 痴呆:1 心包积液:1 昏迷:1 左肺上叶:1 陈旧性手术疤痕:1 恶心:1 活动障碍:1 咳嗽:1 退变:1 咳痰:1 加重:1 左大腿下段术后:1 心音强弱不等:1 麻木:1 胆结石:1 右足背及2-4指感觉减退:1 老年痴呆病:1 右股骨头坏死:1 面色少华:1 双肾多发小结晶:1 左肺上尖后段陈旧性结核:1 脊柱侧弯:1 腰椎:1 房颤:1 胸水:1 囊肿:1 脉弦滑:1 右房增大:1 呕吐:1 摔倒:1 增生:1 青年:1 腹痛:1 活动不利:1 轻压痛:1 腹胀:1 湿罗音:1 胸闷气急:1 发热:1 左房增大:1 
肺恶性肿瘤个人史,男性:23 老年:15 肺癌术后:13 鳞状细胞癌:12 浮肿:11 淋巴结肿大:9 女性:8 肿块:8 肺鳞癌:7 胸腔积液:7 肿瘤:6 肺大泡:5 精神软:5 阻塞性炎症:5 吸烟:4 肺弥散功能轻度降低:4 右胸部可见手术疤痕:4 阻塞性肺炎:3 慢性阻塞性肺病:3 肿胀:3 慢支:3 咳嗽:3 乏力:3 左肺上叶:3 肺气肿:3 肺呼吸音粗:3 胸闷:3 胸痛:3 增生:3 小细胞癌:3 高血压:3 高血压病:3 咯血:2 轻度阻塞性通气功能障碍:2 两肺干湿性啰音:2 左肺上叶占位:2 癌转移:2 左肺上叶小结节:2 左肾低密度灶:2 肺占位:2 阻塞性肺不张:2 两肺多发转移:2 脂肪肝:2 膝关节:2 肺气肿征象:2 感染:2 房颤:2 骨折:2 囊肿:2 湿罗音:2 左肺门占位:2 右肺上叶MT:2 轻度压痛:2 右肺中叶MT:2 右侧上颌窦少许炎症:2 左下肺多发结节:1 左肺上叶周围型腺鳞癌低分化鳞癌:1 左肺小结节:1 左肺中央型肺癌:1 右下肺结节:1 手术史:1 脑白质脱髓鞘改变:1 加重:1 右下肺癌手术:1 乳头状腺癌:1 骨痂:1 多发钙化灶:1 听诊呼吸音偏低:1 粘稠痰:1 左肺下叶腺癌:1 甲状腺右侧叶囊性结节:1 椎体:1 高脂血症:1 陈旧性手术疤痕:1 甲状腺左侧叶结节:1 新生物表面白色坏死物:1 右肺下叶小结节:1 胸闷气促:1 右肺门占位:1 痛风:1 背痛:1 左室高电压:1 左肺门MT:1 头晕:1 低蛋白血症:1 两肺多发小结节:1 右肺上叶周围型腺鳞癌:1 左肺上叶下舌段少量纤维灶:1 粘膜充血明显:1 腹泻:1 两肺散在纤维增殖灶:1 左侧局部肋骨破坏:1 畏寒:1 青霉素过敏史:1 两肺多发结节:1 腰椎退行性改变:1 肺炎:1 糖尿病:1 血迹:1 右肺上叶占位:1 两中上肺多发纤维渗出灶:1 肾结石:1 右下肺叶周围型浸润性黏液型腺癌:1 结肠多发息肉:1 右肺中叶病灶:1 左肺呼吸音低:1 双侧颈动脉斑样硬化:1 左肺腺癌:1 右肺腺癌:1 左上叶新生物完全阻塞:1 胸闷气急:1 右肺下叶术后:1 左肺低分化非小细胞癌:1 淋巴结清扫术:1 痰血:1 肺动脉高压:1 轻度限制性通气功能障碍:1 肾区叩痛:1 累:1 酸痛:1 胆结石:1 T波改变:1 心律失常:1 静脉化疗:1 频发房早:1 左肺上叶腺样囊腺癌:1 腰椎退行性变:1 主动脉弓少许钙化:1 嗜睡:1 左肺下叶周围型腺癌:1 左肺下叶周围型微乳头状腺癌:1 
直肠恶性肿瘤,肿块:56 直肠癌术后:33 男性:27 高血压病:17 直肠癌:16 肾区叩痛:16 浮肿:13 手术瘢痕:13 女性:11 慢性病容:11 陈旧性手术疤痕:10 淋巴结肿大:10 轻压痛:9 囊肿:8 排便习惯改变:7 肿瘤:7 老年:7 便中带血:7 胆囊结石:7 直肠隆起型中分化腺癌:6 直肠盘状隆起型中分化腺癌:6 疼痛:6 直肠癌根治术后:6 累:6 结肠息肉:5 上皮内瘤变:5 肺呼吸音粗:5 结肠癌:5 静脉化疗:5 直肠溃疡型中-低分化腺癌:4 大便次数增多:4 胆囊炎:4 心肺听诊异常:4 腰椎退行性变:4 直肠溃疡型中分化腺癌:4 结肠多发息肉:4 精神软:4 加重:3 癌转移:3 直肠中分化腺癌:3 管状-绒毛状腺瘤:3 消瘦:3 病理性杂音:3 脉管内癌栓:3 出血:3 糖尿病:3 血便:3 手术史:3 两肺多发结节:2 恶心:2 异型增生:2 脉管内见癌栓:2 胸膜增厚:2 主动脉弓钙化:2 隐痛:2 右肺中叶小结节:2 心肺听诊阴性:2 右肺中叶术后:2 直肠息肉:2 直肠癌经括约肌间根治术:2 呕吐:2 腹膨隆:2 左下腹造瘘:2 腹痛:2 粘液腺癌:2 脂肪肝:2 便血:2 增生:2 子宫肌瘤:2 末端回肠造口术:2 淋巴结清扫术:2 右肺动脉主干及分支栓塞形成:2 退指指套染血:2 紧张:2 腺上皮中度异型增生:2 直肠MT术后:2 高血压:2 肾囊肿:2 边界欠清:2 盆腔少量积液:1 息肉:1 造口周围膨隆:1 直乙结肠交界处癌根治术:1 肝脏多发小囊肿:1 肝左外叶囊肿:1 肝炎:1 肠梗阻:1 胆囊切除术:1 心律不齐:1 心动过缓:1 多发钙化灶:1 膀胱内气体影:1 直肠浸润溃疡型:1 低分化神经内分泌癌:1 表面凹凸不平:1 水样便:1 肿物:1 肝占位:1 听力明显下降:1 肝左叶囊肿:1 口干:1 脑溢血:1 咳嗽:1 便秘:1 进行性排便困难:1 鼻咽癌:1 直肠癌转移:1 乙状结肠FDG代谢增高:1 心影增大:1 声音嘶哑:1 心界左下扩大:1 两肺多发小结节:1 乙状结肠盘状隆起型低分化腺癌:1 肝囊肿:1 椎体:1 脉弦:1 两肺多发转移:1 肛瘘:1 尿频尿急尿痛:1 明显干湿性啰音:1 破溃:1 肺炎:1 前列腺钙化:1 结肠溃疡型中分化腺癌:1 阑尾炎:1 膝关节:1 全腹及反跳痛:1 关节肿痛:1 压痛明显:1 房颤:1 腰椎:1 直肠盘状隆起型中--低分化腺癌:1 质地偏硬:1 直肠粘膜炎细胞浸润:1 乙状结肠隆起型中-低分化腺癌:1 贫血:1 黑便:1 脂肪瘤:1 局部压痛:1 胸闷气促:1 直肠浸润溃疡型中-低分化腺癌:1 隐血:1 副脾:1 T波改变:1 脉管内瘤栓:1 腹泻:1 红肿:1 完全性右束支传导阻滞:1 直肠隆起型乳头状腺癌:1 肝左叶血管瘤:1 活动度差:1 冠心病:1 直肠癌根治术:1 直肠术后改变:1 轻度压痛:1 
颌下腺导管结石,不适:1 肿块:1 进食:1 质地偏硬:1 右侧颌下区可见长约4cm瘢痕改变:1 影响吞咽:1 胀痛:1 麻木:1 破溃:1 右颌下区反复肿痛:1 
